#dP2026  9  3  0  0  0.00000000     289 d     IGc20 FIT AIUB
## 2434 345600.00000000   300.00000000 61286 0.0000000000000
%c M  cc GPS ccc cccc cccc cccc cccc ccccc ccccc ccccc ccccc
%c cc cc ccc ccc cccc cccc cccc cccc ccccc ccccc ccccc ccccc
/* Center for Orbit Determination in Europe (CODE)                              
/* Rapid GNSS orbits and clocks for year-day 2026-246                           
/* Middle day of a 3-day long-arc GRE solution                                  
/* Product reference - DOI 10.48620/97772                                       
/* PCV:IGS20_2425 OL/AL:FES2014b NONE     YN ORB:CoN CLK:CoN                    
*  2026  9  3  0  0  0.00000000
PG20 -11443.540728  15010.868417  18749.194219    276.597087
PG21 -22419.021124    123.671439  14275.097128    370.926892
PG22 -23888.851606 -10168.265957  -4416.722438     72.437065
PG23  18696.848730  15877.091165  10641.253746    685.379888
PG24 -12663.049222  21147.057651  -9991.898109    190.140763
PG27  13189.360347 -10653.873601  19968.996063      0.452815
PG30 -17450.187320  -5166.458546  19632.911422    351.077215
*  2026  9  3  1 25  0.00000000
PG01  11367.135797 -19185.477753 -14366.115270    181.596246
PG02  16095.707038 -19761.290510  -5856.744449    168.913674
PG03    544.590943 -15359.657837 -21887.870694    289.049857
PG05 -14609.168188   8830.793758  20178.969871   -236.484391
PG06 -20932.218471   1412.072231 -16316.402709   -534.031846
PG07  -5322.479256 -15269.248442  21658.497575   -221.203777
PG08   6854.027663 -21093.821646  14046.169899    357.037192
PG09  -7725.204649 -24587.954083   6120.858547    687.390077
PG10  24043.473352  11701.177368   1096.176292   -540.166086
PG12  -3238.955542  15450.983266 -21643.429546   -602.929665
PG13  -4876.483728  14497.041339 -21785.845188    437.223533
PG15  -3174.918849  22559.253164  13084.539135    441.614988
PG17 -12678.571718 -15827.709925 -16637.232375   -196.444698
PG19 -15212.060081  -4310.356159 -21434.995876    704.935249
PG20 -11572.826639  14302.065566  19219.121890    276.599846
PG21 -22871.267752   -157.527202  13539.329006    370.924534
PG22 -23984.423417 -10331.950916  -3476.439669     72.439484
PG23  18300.339687  15753.228734  11479.452541    685.380992
PG24 -12986.822706  21304.659377  -9148.262178    190.145955
PG27  13325.072651  -9868.334823  20287.163256      0.452571
PG30 -16876.664431  -5638.403817  19997.417587    351.080936
*  2026  9  3  1 30  0.00000000
PG01  11853.263425 -19418.119779 -13639.236476    181.593485
PG02  16326.886731 -19838.125639  -4921.936755    168.915519
PG03   1296.506665 -15034.792701 -22080.228611    289.043659
PG05 -15322.042676   8536.286746  19776.968892   -236.484050
PG06 -20438.220910   1012.858559 -16952.822379   -534.028630
PG07  -4687.641142 -15723.387512  21462.756605   -221.204788
PG08   7040.094136 -20551.767360  14745.264396    357.034112
PG09  -7680.192111 -24817.473488   5195.421761    687.387448
PG10  23981.220326  11720.371371   2061.485180   -540.163991
PG12  -3963.944258  15095.832722 -21775.000120   -602.929664
PG13  -5648.612356  14206.177791 -21791.676996    437.225013
PG15  -3413.551188  22065.876595  13814.717814    441.615957
PG17 -12657.224160 -16477.184984 -16016.507700   -196.445990
PG19 -15223.674001  -5119.683307 -21264.447837    704.935306
PG20 -11716.941160  13578.849022  19652.444075    276.602593
PG21 -23302.639002   -419.166931  12777.692199    370.922177
PG22 -24051.165145 -10476.757790  -2529.335795     72.442375
PG23  17872.730400  15625.367283  12296.103805    685.382082
PG24 -13285.459184  21445.350299  -8287.139432    190.151139
PG27  13475.156799  -9074.093564  20564.876784      0.452611
PG30 -16300.686255  -6127.653232  20324.524163    351.084620
*  2026  9  3  1 35  0.00000000
PG01  12312.259847 -19643.408498 -12886.140480    181.590787
PG02  16530.252106 -19894.205568  -3977.264931    168.917579
PG03   2060.561330 -14722.101994 -22231.186313    289.037457
PG05 -16024.979359   8260.266127  19336.563120   -236.484393
PG06 -19932.913581    590.328604 -17556.833954   -534.025428
PG07  -4066.532510 -16183.927971  21227.971995   -221.205771
PG08   7239.788227 -19987.255951  15415.134147    357.031043
PG09  -7633.336860 -25012.996797   4259.960488    687.384847
PG10  23886.160728  11726.701101   3022.939886   -540.161874
PG12  -4698.736675  14751.688072 -21865.953849   -602.929285
PG13  -6425.132489  13928.983779 -21756.071617    437.226497
PG15  -3669.130612  21550.143273  14517.517872    441.616997
PG17 -12644.680316 -17102.550805 -15363.961604   -196.447770
PG19 -15248.959553  -5920.950571 -21053.596780    704.935280
PG20 -11876.274487  12842.909849  20048.338735    276.605338
PG21 -23711.675506   -661.818533  11991.642874    370.919798
PG22 -24088.229411 -10603.775377  -1577.274733     72.444802
PG23  17414.473231  15495.033103  13089.671817    685.383168
PG24 -13559.238716  21567.733939  -7410.136929    190.156331
PG27  13639.744874  -8272.998114  20801.612073      0.452694
PG30 -15723.788055  -6633.595947  20613.606719    351.088332
*  2026  9  3  1 40  0.00000000
PG01  12743.813079 -19859.817310 -12108.270108    181.588069
PG02  16706.464736 -19928.285745  -3024.630862    168.919776
PG03   2835.134506 -14422.515290 -22340.456508    289.031270
PG05 -16716.153288   8002.666750  18858.621250   -236.484821
PG06 -19418.019393    144.630137 -18127.266630   -534.022206
PG07  -3460.226253 -16649.581592  20954.509805   -221.206744
PG08   7453.765714 -19401.761988  16054.463257    357.027951
