#dP2026  9  5  0  0  0.00000000     289 d+D   IGc20 FIT AIUB
## 2434 518400.00000000   300.00000000 61288 0.0000000000000
%c M  cc GPS ccc cccc cccc cccc cccc ccccc ccccc ccccc ccccc
%c cc cc ccc ccc cccc cccc cccc cccc ccccc ccccc ccccc ccccc
/* Center for Orbit Determination in Europe (CODE)                              
/* Final GNSS orbits and clocks for year-day 2026-2480                          
/* Middle day of a 3-day long-arc GRE solution                                  
/* Product reference - DOI 10.48620/97773                                       
/* PCV:IGS20_2425 OL/AL:FES2014b NONE     YN ORB:CoN CLK:CoN                    
*  2026  9  5  0  0  0.00000000
PG28  23379.437350  -2410.280567 -12391.843492   -423.070773
PG29   5305.734932  22927.702884  12115.301215   -249.173036
PG30 -21440.845081  -2266.602963  15880.204198    353.176021
PG31  25010.794282  -8900.270055  -3305.046338   -122.958415
*  2026  9  5  0 40  0.00000000
PG04    273.673737 -26297.215083   2947.066396     64.725722
PG05  -9265.396599  11526.129208  21889.527646   -236.534545
PG06 -24069.079527   3667.217010 -10735.170046   -532.195854
PG07 -10327.256297 -12212.515657  21876.306896   -221.770005
PG09  -8131.575326 -21892.682460  12460.167066    685.899309
PG11 -23786.807824  11679.669553    888.369519   -220.068629
PG13    476.426517  16970.871229 -20491.593221    438.054935
PG14 -23249.404354 -12858.277138  -2879.784074    749.978901
PG15  -1842.793690  25392.384229   6985.974911    442.125651
PG17 -13193.467794 -10434.089702 -20122.951891   -197.235366
PG18  11733.013334  10602.600441  21446.476195   -263.855221
PG19 -15558.560634   1693.997420 -21428.849708    704.953425
PG20 -10935.508626  19067.399750  14976.453129    278.149935
PG21 -19164.042380   2380.630673  18255.904372    369.579837
PG22 -22672.772921  -8613.257491 -10132.659919     73.942096
PG24  -9997.122934  19843.299177 -14862.113458    193.087407
PG25  13844.703910  19143.573369 -12750.472202    391.604783
PG26  23130.756695    658.318263  13137.862297   -391.769339
PG28  22981.430582  -2122.450143 -13164.012275   -423.067575
PG29   5170.941900  23363.412830  11311.536425   -249.171230
PG30 -20933.625243  -2601.485959  16494.264179    353.179727
PG31  24926.258544  -8771.435697  -4234.121101   -122.957625
*  2026  9  5  0 45  0.00000000
PG04    358.226891 -26384.428547   1989.236309     64.725805
PG05  -9994.597878  11103.742617  21788.155185   -236.534809
PG06 -23709.916514   3434.295976 -11569.320397   -532.192591
PG07  -9630.628359 -12586.515785  21973.877086   -221.770930
PG09  -8058.169580 -22357.257280  11661.932652    685.896685
PG11 -23835.639906  11608.277905    -66.815759   -220.065009
PG13   -214.944166  16604.564489 -20795.646588    438.056412
PG14 -23278.679951 -12988.857073  -1952.110120    749.978830
PG15  -1981.288064  25102.483781   7869.534092    442.126514
PG17 -13082.293950 -11214.265696 -19770.699854   -197.236471
PG18  11010.834435  10978.019844  21631.520538   -263.852577
PG19 -15466.909085    879.728785 -21560.663576    704.953379
PG20 -10985.395136  18486.412471  15655.258132    278.152649
PG21 -19711.761608   1968.041030  17714.896453    369.577363
PG22 -22926.728616  -8917.934469  -9278.788077     73.944504
PG24 -10481.395507  20074.509940 -14164.860202    193.092591
PG25  13394.837749  18956.918345 -13497.411378    391.603707
PG26  23538.372958    954.268743  12401.350524   -391.769740
PG28  22563.519685  -1813.724114 -13911.003195   -423.064368
PG29   5047.064430  23770.759213  10485.885825   -249.168748
PG30 -20412.381500  -2955.256082  17077.508327    353.183406
PG31  24812.990982  -8626.051501  -5155.270244   -122.956613
*  2026  9  5  0 50  0.00000000
PG04    439.203628 -26436.802301   1027.554182     64.725911
PG05 -10727.279497  10697.055571  21644.397520   -236.535068
PG06 -23327.584489   3180.251863 -12381.429382   -532.189337
PG07  -8937.905821 -12974.236532  22031.814418   -221.771794
PG09  -7992.721360 -22792.334772  10841.145693    685.894019
PG11 -23853.447909  11521.550402  -1021.872164   -220.061392
PG13   -921.886307  16245.198816 -21060.123512    438.057888
PG14 -23280.658669 -13100.564581  -1020.768306    749.978721
PG15  -2130.217480  24781.837612   8737.716465    442.127421
PG17 -12985.235894 -11982.065007 -19379.133253   -197.237848
PG18  10289.814045  11369.442895  21775.525998   -263.849918
PG19 -15388.755917     60.478912 -21651.153030    704.953348
PG20 -11045.547456  17881.442021  16304.221792    278.155388
PG21 -20248.837959   1576.367215  17140.031416    369.574993
PG22 -23159.207369  -9198.632724  -8406.599861     73.947210
PG24 -10941.000918  20298.192669 -13440.944088    193.097775
PG25  12918.264402  18764.475634 -14219.337540    391.602644
PG26  23925.042166   1231.483207  11641.260052   -391.770127
PG28  22127.225363  -1483.707355 -14631.386519   -423.061143
PG29   4933.017256  24148.688157   9639.943952   -249.166596
PG30 -19878.666736  -3328.001406  17628.847033    353.187085
PG31  24671.943357  -8463.100087  -6066.779262   -122.955949
*  2026  9  5  0 55  0.00000000
PG04    518.014940 -26454.126584     63.881829     64.726023
PG05 -11461.667347  10306.781209  21458.540689   -236.534938
PG06 -22923.547277   2904.462567 -13169.939448   -532.186083
PG07  -8250.577664 -13374.941428  22049.981742   -221.773000
PG09  -7934.018337 -23196.971143   9999.398693    685.891404
PG11 -23840.892494  11418.263824  -1974.960439   -220.057819
PG13  -1643.063798  15893.943006 -21284.526767    438.059344
PG14 -23254.556988 -13194.467102    -87.509512    749.978637
PG15  -2290.680336  24431.299131   9588.790291    442.128514
PG17 -12901.856766 -12735.717343 -18949.026146   -197.239081
PG18   9571.646138  11776.210238  21878.188117   -263.847234
PG19 -15324.438347   -761.975814 -21700.208948    704.953578
PG20 -11116.903068  17253.826904  16922.111715    278.158108
PG21 -20773.587937   1205.667976  16532.410071    369.572609
PG22 -23368.861175  -9455.916360  -7517.830239     73.950119
PG24 -11375.607710  20512.857087 -12691.668453    193.102963
PG25  12415.427959  18567.684367 -14914.924668    391.601588
PG26  24289.471633   1490.515528  10859.067753   -391.770533
PG28  21674.109814  -1132.102768 -15323.783247   -423.057937
PG29   4827.656963  24496.238164   8775.345477   -249.164457
PG30 -19334.051228  -3719.715015  18147.248787    353.190787
PG31  24504.146580  -8281.630591  -6966.954673   -122.954980
*  2026  9  5  1  0  0.00000000
PG04    596.081632 -26436.305850   -899.914514     64.726111
PG05 -12195.956935   9933.530655  21230.953753   -236.534836
PG06 -22499.325082   2606.402707 -13933.336465   -532.182831
PG07  -7570.092038 -13787.808713  22028.309247   -221.773718
PG09  -7880.799480 -23570.322267   9138.324241    685.888764
PG11 -23798.731125  11297.250299  -2924.244253   -220.054195
PG13  -2377.071064  15551.893731 -21468.435011    438.060839
PG14 -23199.677036 -13271.688701    845.913531    749.978572
PG15  -2463.717445  24051.817287  10421.051072    442.129180
PG17 -12831.624509 -13473.496509 -18481.232247   -197.240531
PG18   8857.991412  12197.565786  21939.279848   -263.844560
PG19 -15274.195138  -1585.846672 -21707.801670    704.953452
PG20 -11200.323189  16604.976652  17507.754808    278.160851
PG21 -21284.345382    855.898620  15893.195561    369.570178
PG22 -23554.406246  -9690.443976  -6614.244959     73.952801
PG24 -11784.980181  20717.009852 -11918.390103    193.108124
PG25  11886.868920  18367.965631 -15582.894981    391.600530
PG26  24630.427456   1732.002087  10056.287857   -391.770919
PG28  21205.770169   -758.713391 -15986.867758   -423.054725
PG29   4729.787767  24812.544007   7893.761957   -249.162477
PG30 -18780.116429  -4130.294293  18631.741963    353.194479
PG31  24310.706072  -8080.763271  -7854.126870   -122.954111
*  2026  9  5  1  5  0.00000000
PG04    674.827255 -26383.359222  -1861.967925     64.726209
PG05 -12928.320662   9577.810903  20962.087988   -236.535131
PG06 -22056.488119   2285.646784 -14670.152662   -532.179602
PG07  -6897.851064 -14211.934061  21966.794824   -221.774802
PG09  -7831.761324 -23911.646880   8259.591727    685.886123
PG11 -23727.814482  11157.403170  -3867.893802   -220.050571
PG13  -3122.438274  15220.071069 -21611.503525    438.062311
PG14 -23115.409822 -13333.404599   1777.749341    749.978458
PG15  -2650.306311  23644.432996  11232.825384    442.130082
PG17 -12773.914712 -14193.727461 -17976.683055   -197.241706
PG18   8150.470836  12632.659317  21958.652208   -263.841900
PG19 -15238.165910  -2409.339480 -21673.980571    704.953645
PG20 -11296.588550  15936.366398  18060.039449    278.163562
PG21 -21779.468339    526.912002  15223.611143    369.567784
PG22 -23714.628840  -9902.964669  -5697.636659     73.955635
PG24 -12168.979037  20909.161119 -11122.517338    193.113317
PG25  11333.222627  18166.716369 -16222.020990    391.599461
PG26  24946.739450   1956.658005   9234.468955   -391.771325
PG28  20723.831790   -363.444069 -16619.370338   -423.051533
PG29   4638.167529  25096.840228   6996.898508   -249.159886
PG30 -18218.448724  -4559.540598  19081.416527    353.198146
PG31  24092.796863  -7859.693804  -8726.652916   -122.953012
*  2026  9  5  1 10  0.00000000
PG04    755.671023 -26295.420463  -2820.414550     64.726256
PG05 -13656.915208   9240.023172  20652.475903   -236.535110
PG06 -21596.650048   1941.871905 -15378.969481   -532.176351
PG07  -6235.205789 -14646.333631  21865.504360   -221.775900
PG09  -7785.564415 -24220.309334   7364.903980    685.883484
PG11 -23629.082480  10997.682620  -4804.089413   -220.046976
PG13  -3877.636828  14899.414393 -21713.464815    438.063803
PG14 -23001.238113 -13380.835500   2706.250776    749.978394
PG15  -2851.355647  23210.275147  12022.474694    442.130825
PG17 -12728.013921 -14894.793128 -17436.385785   -197.243515
PG18   7450.659350  13080.549494  21936.234814   -263.839246
PG19 -15216.390895  -3230.661450 -21598.873472    704.953546
PG20 -11406.395537  15249.531167  18577.917534    278.166280
PG21 -22257.345843    218.459960  14524.937851    369.565412
PG22 -23848.390771 -10094.313661  -4769.820941     73.958152
PG24 -12527.561670  21087.831159 -10305.507833    193.118502
PG25  10755.217335  17965.303401 -16831.127463    391.598390
PG26  25237.305817   2165.273065   8395.190957   -391.771721
PG28  20229.941463     53.697314 -17220.079615   -423.048308
PG29   4551.513986  25348.464213   6086.490402   -249.158233
PG30 -17650.633182  -5007.159341  19495.425642    353.201861
PG31  23851.658437  -7617.697274  -9582.919275   -122.952193
*  2026  9  5  1 15  0.00000000
PG04    840.020746 -26172.737453  -3773.397338     64.726348
PG05 -14379.888994   8920.461748  20302.730079   -236.535044
PG06 -21121.461218   1574.860073 -16058.420349   -532.173072
PG07  -5583.451334 -15089.947450  21724.571955   -221.776893
PG09  -7740.839925 -24495.781905   6455.993851    685.880840
PG11 -23503.559919  10817.121009  -5731.025133   -220.043411
PG13  -4641.085098  14590.778605 -21774.129077    438.065262
PG14 -22856.738945 -13415.241757   3629.678105    749.978300
PG15  -3067.700183  22750.556190  12788.399146    442.132070
PG17 -12693.123366 -15575.140977 -16861.421108   -197.244646
PG18   6760.079764  13540.207291  21872.036259   -263.836588
PG19 -15208.811136  -4048.028016 -21482.685930    704.953924
PG20 -11530.352700  14546.059933  19060.406416    278.168997
PG21 -22716.404595    -69.804817  13798.512055    369.562970
PG22 -23954.634565 -10265.407526  -3832.632413     73.961058
PG24 -12860.782017  21251.557008  -9468.866385    193.123708
PG25  10153.671920  17765.057590 -17409.093319    391.597303
PG26  25501.097518   2358.707344   7540.062036   -391.772122
PG28  19725.760522    492.599049 -17787.844877   -423.045118
PG29   4468.511162  25566.858823   5164.299602   -249.155922
PG30 -17078.247320  -5472.760468  19872.987181    353.205520
PG31  23588.589352  -7354.131824 -10421.344482   -122.951354
*  2026  9  5  1 20  0.00000000
PG04    929.265819 -26015.671183  -4719.069780     64.726442
PG05 -15095.389688   8619.313321  19913.541846   -236.534854
PG06 -20632.601775   1184.500034 -16707.193366   -532.169778
PG07  -4943.822241 -15541.643104  21544.200075   -221.777760
PG09  -7696.196392 -24737.646637   5534.620735    685.878208
PG11 -23352.351768  10614.827901  -6646.912294   -220.039817
PG13  -5411.154395  14294.930759 -21793.384514    438.066772
PG14 -22681.585752 -13437.917383   4546.302060    749.978247
PG15  -3300.095794  22266.567330  13529.041311    442.132800
PG17 -12668.363115 -16233.289278 -16252.940715   -197.246297
PG18   6080.196868  14010.519814  21766.144359   -263.833895
PG19 -15215.269120  -4859.669583 -21325.700374    704.953727
PG20 -11668.977658  13827.589466  19506.590710    278.171756
